ID,Atividade,Equipamento,Responsável,Data Início,Data Fim,Status,Tipo Manutenção,Prioridade,Recursos
MAN-001,Inspeção Tubos Caldeira,Caldeira 1,Inspetor A,2025-01-29,2025-02-02,em_andamento,Preventiva,alta,Equipe 5 pessoas
MAN-002,Troca de Refratário,Forno 1,Equipe Refrat,2025-01-29,2025-02-05,em_andamento,Corretiva,crítica,Equipe 8 pessoas
MAN-003,Revisão Turbina,Turbina Principal,Mecânico Esp,2025-01-30,2025-02-03,pendente,Preventiva,alta,Equipe 3 pessoas
MAN-004,Manutenção Bombas,Sistema Água,Mecânico A,2025-01-31,2025-02-02,concluida,Preventiva,média,Equipe 2 pessoas
MAN-005,Teste NDT Tubulações,Rede Principal,Inspetor NDT,2025-02-01,2025-02-04,em_andamento,Inspeção,alta,1 Especialista
MAN-006,Limpeza Economizador,Caldeira 1,Equipe Limpeza,2025-02-02,2025-02-04,pendente,Preventiva,média,Equipe 4 pessoas
MAN-007,Calibração Instrumentos,Sala Controle,Instrumentista,2025-02-03,2025-02-05,em_andamento,Preventiva,alta,2 Especialistas
MAN-008,Revisão Sistema Óleo,Turbina,Lubrificador,2025-02-04,2025-02-06,pendente,Preventiva,média,1 Especialista
MAN-009,Teste Hidrostático,Tubulações HP,Equipe Teste,2025-02-05,2025-02-07,pendente,Teste,crítica,Equipe 3 pessoas
MAN-010,Inspeção Elétrica,Subestação,Eletricista Esp,2025-02-06,2025-02-08,pendente,Preventiva,alta,2 Especialistas
