ID,Atividade,Sistema,Responsável,Data Início,Data Fim,Status,Teste,Resultado,Aprovação
PART-001,Pressurização Gradual,Sistema Vapor,Operador Senior,2025-02-08,2025-02-09,pendente,Pressão,Pendente,Não
PART-002,Teste Válvulas Segurança,Sistema Segurança,Inspetor Seg,2025-02-09,2025-02-09,pendente,Funcional,Pendente,Não
PART-003,Aquecimento Caldeira,Caldeira Principal,Foguista,2025-02-10,2025-02-12,pendente,Térmico,Pendente,Não
PART-004,Sincronização Turbina,Sistema Elétrico,Eletricista,2025-02-12,2025-02-13,pendente,Elétrico,Pendente,Não
PART-005,Teste Instrumentação,Controle,Instrumentista,2025-02-13,2025-02-14,pendente,Calibração,Pendente,Não
PART-006,Verificação Proteções,Sistema Segurança,Eng Segurança,2025-02-14,2025-02-14,pendente,Segurança,Pendente,Não
PART-007,Teste Carga Parcial,Turbina,Operador,2025-02-15,2025-02-16,pendente,Performance,Pendente,Não
PART-008,Monitoramento Vibrações,Equipamentos,Analista Vibr,2025-02-16,2025-02-17,pendente,Dinâmico,Pendente,Não
PART-009,Teste Carga Total,Sistema Completo,Supervisor,2025-02-17,2025-02-18,pendente,Final,Pendente,Não
PART-010,Entrega Operação,Usina Completa,Coordenação,2025-02-18,2025-02-18,pendente,Operacional,Pendente,Não
